,precision,recall,f1-score,support
Black_rot,0.9421487603305785,0.9661016949152542,0.9539748953974895,236.0
Esca,0.9740740740740741,0.9494584837545126,0.9616087751371115,277.0
Healthy,0.9770114942528736,1.0,0.9883720930232558,85.0
Leaf_blight,0.9906976744186047,0.9861111111111112,0.9883990719257542,216.0
accuracy,0.9692874692874693,0.9692874692874693,0.9692874692874693,0.9692874692874693
macro avg,0.9709830007690328,0.9754178224452195,0.9730887088709027,814.0
weighted avg,0.9695359958752431,0.9692874692874693,0.969299181166741,814.0
