embedding_index,embedding_name,importancia,ranking
1223,embedding_1223,0.015274396931916623,1
302,embedding_302,0.014375161823771855,2
950,embedding_950,0.014054723483197761,3
724,embedding_724,0.013722173189560996,4
469,embedding_469,0.013217975486408866,5
3,embedding_3,0.012125486638546243,6
755,embedding_755,0.01206195157964864,7
1,embedding_1,0.011153496962846954,8
100,embedding_100,0.01077703444564703,9
880,embedding_880,0.010726782249633266,10
1036,embedding_1036,0.010347103145024872,11
554,embedding_554,0.009697656727786002,12
637,embedding_637,0.009465695932172892,13
941,embedding_941,0.009283482786655545,14
1082,embedding_1082,0.008868655882987367,15
230,embedding_230,0.008836901798009597,16
89,embedding_89,0.008583035266853183,17
27,embedding_27,0.008111490496018075,18
567,embedding_567,0.007975347113838703,19
457,embedding_457,0.007946135038161153,20
212,embedding_212,0.007636446150416691,21
328,embedding_328,0.007604501250561652,22
571,embedding_571,0.007468704592487973,23
1244,embedding_1244,0.007170518567172549,24
500,embedding_500,0.007161004842656538,25
159,embedding_159,0.007123738228414351,26
1276,embedding_1276,0.007005045383831641,27
913,embedding_913,0.006634734741126532,28
252,embedding_252,0.006431456925518446,29
1219,embedding_1219,0.006234206647563962,30
789,embedding_789,0.006141604693963318,31
116,embedding_116,0.0060418374129059685,32
435,embedding_435,0.0060335557404877825,33
971,embedding_971,0.006024966993105487,34
748,embedding_748,0.005992401858689599,35
352,embedding_352,0.0059244267248628295,36
1016,embedding_1016,0.005863938954472726,37
583,embedding_583,0.005483333645129174,38
340,embedding_340,0.005163305642706034,39
1067,embedding_1067,0.005030507279469584,40
610,embedding_610,0.004975479023767003,41
1206,embedding_1206,0.004831429320284069,42
399,embedding_399,0.00465646104838831,43
327,embedding_327,0.004628997255033309,44
991,embedding_991,0.004583996185917123,45
226,embedding_226,0.00444372885752779,46
1230,embedding_1230,0.004424170251181389,47
1117,embedding_1117,0.004371490553569914,48
234,embedding_234,0.004367379506164574,49
862,embedding_862,0.004318932101224816,50
1151,embedding_1151,0.004281133262013924,51
799,embedding_799,0.00411424939677786,52
479,embedding_479,0.004091962923516417,53
1092,embedding_1092,0.0040848605849766635,54
381,embedding_381,0.004084213012190056,55
897,embedding_897,0.0040146914772266565,56
1168,embedding_1168,0.003983388492478506,57
31,embedding_31,0.003975094836554755,58
761,embedding_761,0.0039046859614134525,59
175,embedding_175,0.003757718303536772,60
64,embedding_64,0.0036916311993078713,61
1165,embedding_1165,0.003664781534416107,62
1268,embedding_1268,0.003635360313238469,63
556,embedding_556,0.0035978184670664593,64
1113,embedding_1113,0.0035830445062364365,65
391,embedding_391,0.003561163919041008,66
301,embedding_301,0.0035330863580328663,67
847,embedding_847,0.0034153346466175584,68
91,embedding_91,0.0033337630847216537,69
784,embedding_784,0.0033272244267926756,70
974,embedding_974,0.00326973868960663,71
994,embedding_994,0.0032226060371581583,72
714,embedding_714,0.0032225321697886234,73
557,embedding_557,0.0032064519572900813,74
561,embedding_561,0.0032036085376904487,75
1270,embedding_1270,0.003201930151535256,76
881,embedding_881,0.003187447953519275,77
643,embedding_643,0.003177178265633438,78
1046,embedding_1046,0.0031621700901355524,79
746,embedding_746,0.003149160078100484,80
408,embedding_408,0.0030709006735790993,81
1038,embedding_1038,0.0030513783784684926,82
968,embedding_968,0.0029966799335626993,83
44,embedding_44,0.002945336956649566,84
1256,embedding_1256,0.0029377936828572705,85
810,embedding_810,0.0029117885946409613,86
215,embedding_215,0.002895285407098147,87
318,embedding_318,0.002883216428786693,88
839,embedding_839,0.002819148207098459,89
960,embedding_960,0.0027894574751085592,90
1152,embedding_1152,0.002643002486958187,91
1177,embedding_1177,0.002617303496710515,92
612,embedding_612,0.002489368956068065,93
1221,embedding_1221,0.0024627039787015583,94
1231,embedding_1231,0.002454856594711603,95
1056,embedding_1056,0.002411486669217673,96
645,embedding_645,0.0024019472613023753,97
787,embedding_787,0.0023957310071252105,98
803,embedding_803,0.0023767402805879695,99
1136,embedding_1136,0.0023739094889504166,100
526,embedding_526,0.002355248355260098,101
975,embedding_975,0.002338007418816842,102
492,embedding_492,0.0022633496236954386,103
321,embedding_321,0.0022401569186762415,104
1161,embedding_1161,0.0022352488834369894,105
210,embedding_210,0.002217110618849406,106
732,embedding_732,0.00220673120835349,107
341,embedding_341,0.0022058317901461036,108
161,embedding_161,0.002185400437045488,109
772,embedding_772,0.0021556842856496907,110
1040,embedding_1040,0.002128464468823094,111
706,embedding_706,0.0021202806801129364,112
793,embedding_793,0.0021147037192862537,113
332,embedding_332,0.002107095697231884,114
792,embedding_792,0.0020833360902940885,115
614,embedding_614,0.0020590910450960197,116
745,embedding_745,0.002053171577334215,117
107,embedding_107,0.002022852188979334,118
912,embedding_912,0.001997025572082389,119
305,embedding_305,0.0019956962509359985,120
1080,embedding_1080,0.001992461619458848,121
895,embedding_895,0.001984043570435261,122
1259,embedding_1259,0.001958911378482547,123
468,embedding_468,0.0019327092594256504,124
124,embedding_124,0.001909791779839462,125
888,embedding_888,0.0018642632094333456,126
910,embedding_910,0.0018499847769379316,127
339,embedding_339,0.0018366725830667096,128
904,embedding_904,0.0018112436985567356,129
901,embedding_901,0.0017817894118490054,130
933,embedding_933,0.0017679642262070478,131
956,embedding_956,0.0017543387014658915,132
636,embedding_636,0.0017409784984680407,133
687,embedding_687,0.0017264050949675112,134
1175,embedding_1175,0.001716586148579075,135
