,precision,recall,f1-score,support
Black_rot,0.9568965517241379,0.940677966101695,0.9487179487179486,236.0
Esca,0.9539007092198581,0.9711191335740073,0.962432915921288,277.0
Healthy,1.0,1.0,1.0,85.0
Leaf_blight,0.9953488372093023,0.9907407407407407,0.9930394431554525,216.0
accuracy,0.9705159705159705,0.9705159705159705,0.9705159705159705,0.9705159705159705
macro avg,0.9765365245383245,0.9756344601041107,0.9760475769486723,814.0
weighted avg,0.9705816111769123,0.9705159705159705,0.9705010728860077,814.0
