,precision,recall,f1-score,support
Black_rot,0.9234042553191489,0.9194915254237288,0.9214437367303608,236.0
Esca,0.9252669039145908,0.9386281588447654,0.931899641577061,277.0
Healthy,0.9883720930232558,1.0,0.9941520467836257,85.0
Leaf_blight,0.9952830188679245,0.9768518518518519,0.9859813084112149,216.0
accuracy,0.9496314496314496,0.9496314496314496,0.9496314496314496,0.9496314496314496
macro avg,0.95808156778123,0.9587428840300865,0.9583691833755656,814.0
weighted avg,0.9498956960959573,0.9496314496314496,0.9497196672956286,814.0
