,precision,recall,f1-score,support
Black_rot,0.9153225806451613,0.961864406779661,0.9380165289256198,236.0
Esca,0.9775280898876404,0.9422382671480144,0.9595588235294117,277.0
Healthy,0.9659090909090909,1.0,0.9826589595375723,85.0
Leaf_blight,0.985781990521327,0.9629629629629629,0.9742388758782201,216.0
accuracy,0.9594594594594594,0.9594594594594594,0.9594594594594594,0.9594594594594594
macro avg,0.9611354379908049,0.9667664092226596,0.9636182969677061,814.0
weighted avg,0.960470015492646,0.9594594594594594,0.959620766209438,814.0
