,precision,recall,f1-score,support
Black_rot,0.9833333333333333,1.0,0.9915966386554621,236.0
Esca,1.0,0.9855595667870036,0.9927272727272727,277.0
Healthy,1.0,1.0,1.0,85.0
Leaf_blight,1.0,1.0,1.0,216.0
accuracy,0.995085995085995,0.995085995085995,0.995085995085995,0.995085995085995
macro avg,0.9958333333333333,0.9963898916967509,0.9960809778456837,814.0
weighted avg,0.9951678951678951,0.995085995085995,0.9950887730566875,814.0
